,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection,SolarGeneration
24,1/1/2020 6:15,8.253333333,8.626666667,8.526666667,99.0,0.0,11.0,0.135
25,1/1/2020 6:30,7.306666667,8.533333333,8.433333333,99.0,4.293333333,11.0,0.465
26,1/1/2020 6:45,7.22,8.806666667,8.706666667,99.0,6.573333333,11.0,1.039
27,1/1/2020 7:00,8.733333333,9.426666667,8.84,96.26666667,2.333333333,11.0,1.673
28,1/1/2020 7:15,9.38,10.26,9.013333333,92.0,3.413333333,10.26666667,2.56
29,1/1/2020 7:30,10.39333333,11.10666667,9.053333333,87.13333333,2.666666667,9.533333333,3.553
30,1/1/2020 7:45,12.15333333,12.25333333,9.54,83.6,0.12,9.6,4.647
31,1/1/2020 8:00,12.56666667,13.46,9.566666667,77.26666667,4.56,11.26666667,5.934
32,1/1/2020 8:15,13.34666667,14.26,9.54,73.4,4.346666667,9.933333333,7.113
33,1/1/2020 8:30,13.85333333,15.08666667,9.526666667,69.4,5.706666667,63.33333333,8.485
34,1/1/2020 8:45,15.11333333,15.89333333,9.713333333,66.66666667,3.8,147.7333333,9.91
35,1/1/2020 9:00,15.25333333,16.24666667,10.16,67.2,5.6,203.5333333,11.112
36,1/1/2020 9:15,15.96,17.16,10.45333333,64.66666667,7.013333333,242.2,12.165
37,1/1/2020 9:30,16.58,18.06,10.40666667,60.93333333,8.626666667,223.4666667,13.475
38,1/1/2020 9:45,16.46,17.85333333,10.13333333,60.6,7.56,220.2666667,14.837
39,1/1/2020 10:00,16.56666667,18.26,10.52,60.6,9.533333333,236.7333333,15.831
40,1/1/2020 10:15,17.22666667,19.8,10.44666667,54.8,14.08,254.9333333,16.991
41,1/1/2020 10:30,17.28666667,20.11333333,9.606666667,50.8,14.58,247.3333333,17.447
42,1/1/2020 10:45,17.44666667,20.28666667,8.986666667,48.2,13.36,252.0666667,18.164
43,1/1/2020 11:00,17.52,20.53333333,8.46,45.86666667,13.72,235.3333333,19.195
44,1/1/2020 11:15,17.48,20.92666667,7.726666667,42.53333333,15.04,227.7333333,19.352
45,1/1/2020 11:30,17.84,21.15333333,6.68,39.06666667,13.36,222.9333333,20.198
46,1/1/2020 11:45,17.58666667,21.54666667,5.98,36.33333333,15.66,242.0,20.792
47,1/1/2020 12:00,17.91333333,21.66,5.373333333,34.6,13.5,223.4666667,21.255
48,1/1/2020 12:15,17.37333333,21.9,4.686666667,32.46666667,17.14,221.5333333,21.07
49,1/1/2020 12:30,17.85333333,22.02,4.7,32.26666667,15.32,234.0666667,21.165
50,1/1/2020 12:45,18.96,22.96666667,5.493333333,32.2,15.3,240.3333333,21.323
51,1/1/2020 13:00,19.6,23.22666667,5.5,31.73333333,13.4,223.9333333,20.984
52,1/1/2020 13:15,19.20666667,23.46666667,4.9,30.0,16.04,232.0666667,21.092
53,1/1/2020 13:30,20.07333333,23.51333333,5.326666667,30.8,12.13333333,206.2,21.43
58,1/1/2020 14:45,21.41333333,24.70666667,6.826666667,31.8,13.12,212.7333333,21.395
59,1/1/2020 15:00,22.03333333,24.59333333,6.666666667,31.66666667,9.053333333,195.2,21.092
60,1/1/2020 15:15,22.48,25.12666667,6.906666667,31.2,9.826666667,231.4666667,20.47
61,1/1/2020 15:30,23.07333333,25.44666667,6.993333333,30.8,8.813333333,190.3333333,20.104
62,1/1/2020 15:45,22.85333333,25.42,6.96,30.73333333,9.506666667,234.8,7.056
63,1/1/2020 16:00,22.94,25.84,7.18,30.46666667,11.92,190.4666667,9.943
64,1/1/2020 16:15,23.12666667,26.04666667,7.046666667,29.8,11.41333333,221.8,13.546
65,1/1/2020 16:30,23.26666667,26.08666667,7.113333333,29.86666667,10.92,197.4666667,17.386
66,1/1/2020 16:45,22.88666667,26.05333333,7.08,29.86666667,12.78,202.0,16.551
67,1/1/2020 17:00,23.30666667,26.42,7.286666667,29.66666667,12.76,223.3333333,15.265
68,1/1/2020 17:15,22.84666667,25.92,7.166666667,30.33333333,12.4,189.8,14.065
69,1/1/2020 17:30,23.22666667,26.2,7.313333333,30.06666667,11.8,217.8,13.119
70,1/1/2020 17:45,23.15333333,26.32,7.266666667,29.8,13.0,215.0,11.876
71,1/1/2020 18:00,23.32,26.20666667,7.133333333,29.73333333,11.58,214.1333333,10.441
72,1/1/2020 18:15,22.94,25.70666667,7.306666667,31.0,10.96,207.8,8.974
73,1/1/2020 18:30,22.05333333,25.49333333,7.306666667,31.4,14.32,218.6,7.562
74,1/1/2020 18:45,21.42,25.14,7.446666667,32.4,16.02,223.0666667,6.143
75,1/1/2020 19:00,21.90666667,24.93333333,8.113333333,34.26666667,13.12,212.7333333,4.667
76,1/1/2020 19:15,21.1,24.46,8.7,36.73333333,15.78,221.1333333,3.471
